order_id,order_date,ship_date,ship_mode,customer_id,region,product_id,category,sales,quantity,profit,transit_date
CA-2019-106320,2019-09-25,2019-09-30,Standard Class,EB-13870,West,FUR-TA-10000577,Furniture,1044.6,3,240.3,5
CA-2020-121755,2020-01-16,2020-01-20,Second Class,EH-13945,West,OFF-BI-10001634,Office Supplies,11.6,2,4.2,4
CA-2020-121755,2020-01-16,2020-01-20,Second Class,EH-13945,West,TEC-AC-10003027,Technology,90.6,3,11.8,4
US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,East,FUR-BO-10004834,Furniture,3083.4,7,-1665.1,4
US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,East,OFF-BI-10000474,Office Supplies,9.6,2,-7.1,4
US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,East,FUR-FU-10004848,Furniture,124.2,3,15.5,4
US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,East,OFF-EN-10001509,Office Supplies,3.3,2,1.1,4
US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,East,OFF-AR-10004042,Office Supplies,86.3,6,9.7,4
US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,East,OFF-BI-10001525,Office Supplies,6.9,6,-5.7,4
US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520,East,OFF-AR-10001683,Office Supplies,15.8,2,3.5,4
CA-2021-107727,2021-10-19,2021-10-23,Second Class,MA-17560,Central,OFF-PA-10000249,Office Supplies,29.5,3,9.9,4
CA-2020-117590,2020-12-08,2020-12-10,First Class,GH-14485,Central,TEC-PH-10004977,Technology,1097.5,7,123.5,2
CA-2020-117590,2020-12-08,2020-12-10,First Class,GH-14485,Central,FUR-FU-10003664,Furniture,190.9,5,-148.0,2
CA-2019-117415,2019-12-27,2019-12-31,Standard Class,SN-20710,Central,OFF-EN-10002986,Office Supplies,113.3,9,35.4,4
CA-2019-117415,2019-12-27,2019-12-31,Standard Class,SN-20710,Central,FUR-BO-10002545,Furniture,532.4,3,-47.0,4
CA-2019-117415,2019-12-27,2019-12-31,Standard Class,SN-20710,Central,FUR-CH-10004218,Furniture,212.1,3,-15.1,4
CA-2019-117415,2019-12-27,2019-12-31,Standard Class,SN-20710,Central,TEC-PH-10000486,Technology,371.2,4,41.8,4
CA-2021-120999,2021-09-10,2021-09-15,Standard Class,LC-16930,Central,TEC-PH-10004093,Technology,147.2,4,16.6,5
CA-2020-101343,2020-07-17,2020-07-22,Standard Class,RA-19885,West,OFF-ST-10003479,Office Supplies,77.9,2,3.9,5
CA-2021-139619,2021-09-19,2021-09-23,Standard Class,ES-14080,South,OFF-ST-10003282,Office Supplies,95.6,2,9.6,4
CA-2020-118255,2020-03-11,2020-03-13,First Class,ON-18715,Central,TEC-AC-10000171,Technology,46.0,2,19.8,2
CA-2020-118255,2020-03-11,2020-03-13,First Class,ON-18715,Central,OFF-BI-10003291,Office Supplies,17.5,2,8.2,2
CA-2018-146703,2018-10-20,2018-10-25,Second Class,PO-18865,Central,OFF-ST-10001713,Office Supplies,212.0,4,8.5,5
CA-2020-169194,2020-06-20,2020-06-25,Standard Class,LH-16900,East,TEC-AC-10002167,Technology,45.0,3,5.0,5
CA-2020-169194,2020-06-20,2020-06-25,Standard Class,LH-16900,East,TEC-PH-10003988,Technology,21.8,2,6.1,5
CA-2019-115742,2019-04-18,2019-04-22,Standard Class,DP-13000,Central,OFF-BI-10004410,Office Supplies,38.2,6,18.0,4
